"Work","Chapter","Verse","Version","Script" 
"Gal","02","02","02TZ","[ἀναβαίνω@viaa1s δέ@cc κατά@pa ἀποκάλυψις@nafsc καί@cc ἀνατίθημι@viam1s αὐτός@rpdmp ὁ@dans εὐαγγέλιον@nansc ὅς@rrans κηρύσσω@vipa1s ἐν@pd ὁ@ddnp ἔθνος@ndnpc κατά@pa ἴδιος@anafsn δέ@cc ὁ@ddmp δοκέω@vppadmp μήπως@cs] εἰς@pa κενός@anansn τρέχω@viaa1s ἤ@cc τρέχω@vspa1s" 
"Gal","02","03","02TZ","ἀλλά@cc οὐδέ@b Τίτος@nnmsp [ὁ@dnms σύν@pd ἐγώ@rpd-s Ἕλλην@nnmsp εἰμί@vppanms] ἀναγκάζω@viap3s περιτέμνω@vnap" 
"Gal","02","04","02TZ","διά@pa ὁ@damp παρείσακτος@anampn [ψευδάδελφος@nampc ὅστις@rrnmp παρεισέρχομαι@viaa3p κατασκοπέω@vnaa ὁ@dafs ἐλευθερία@nafsc ἐγώ@rpg-p ὅς@rrafs ἔχω@vipa1p] ἐν@pd Χριστός@ndmsp ἵνα@cs ἐγώ@rpa-p καταδουλόω@vifa3p" 
"Gal","02","05","02TZ","οὐδέ@b πρός@pa ὥρα@nafsc εἴκω@viaa1p ὁ@ddfs ὑποταγή@ndfsc [ἵνα@cs ὁ@dnfs ἀλήθεια@nnfsc ὁ@dgns εὐαγγέλιον@ngnsc διαμένω@vsaa3s πρός@pa σύ@rpa-p]" 
"Gal","02","09","02TZ","[καί@cc γινώσκω@vpaanmp ὁ@dafs χάρις@nafsc ὁ@dafs δίδωμι@vpapafs ἐγώ@rpd-s] Πέτρος@nnmsp καί@cc Ἰάκωβος@nnmsp καί@cc Ἰωάννης@nnmsp [ὁ@dnmp δοκέω@vppanmp στῦλος@nnmpc εἰμί@vnpa δεξιός@anafpn δίδωμι@viaa3p ἐγώ@rpd-s καί@cc Βαρναβᾶς@ndmsp κοινωνία@ngfsc ἵνα@cs ἐγώ@rpn-p εἰς@pa ὁ@danp ἔθνος@nanpc αὐτός@rtnmp δέ@cc εἰς@pa ὁ@dafs περιτομή@nafsc]" 
"Gal","02","10","02TZ","[μόνος@b ὁ@dgmp πτωχός@angmpn ἵνα@cs μνημονεύω@vspa1p ὅς@rrans καί@b σπουδάζω@viaa1s αὐτός@rpans οὗτος@rdans ποιέω@vnaa]" 
"Gal","02","11","02TZ","[ὅτε@cs δέ@cc ἔρχομαι@viaa3s Κηφᾶς@nnmsp εἰς@pa Ἀντιόχεια@nafsp κατά@pa πρόσωπον@nansc αὐτός@rpdms ἀνθίστημι@viaa1s ὅτι@cs καταγινώσκω@vpxpnms εἰμί@viia3s]" 
"Gal","02","12","02TZ","[πρό@pg ὁ@dgns γάρ@cc ἔρχομαι@vnaa τὶς@riamp ἀπό@pg Ἰάκωβος@ngmsp μετά@pg ὁ@dgnp ἔθνος@ngnpc συνεσθίω@viia3s ὅτε@cs δέ@cc ἔρχομαι@viaa3p ὑποστέλλω@viia3s καί@cc ἀφορίζω@viia3s ἑαυτοῦ@rxams φοβέω@vppmnms ὁ@damp ἐκ@pg περιτομή@ngfsc]" 
"Gal","02","13","02TZ","[καί@cc συνυποκρίνομαι@viap3p αὐτός@rpdms καί@b ὁ@dnmp λοιπός@annmpn Ἰουδαῖος@annmpn ὥστε@cs καί@b Βαρναβᾶς@nnmsp συναπάγω@viap3s αὐτός@rpgmp ὁ@ddfs ὑπόκρισις@ndfsc]" 
"Gal","02","14","02TZ","[ἀλλά@cc ὅτε@cs ὁράω@viaa1s ὅτι@cs οὐ@b ὀρθοποδέω@vipa3p πρός@pa ὁ@dafs ἀλήθεια@nafsc ὁ@dgns εὐαγγέλιον@ngnsc λέγω@viaa1s ὁ@ddms Κηφᾶς@ndmsp ἔμπροσθεν@pg πᾶς@aigmpn εἰ@cs σύ@rpn-s Ἰουδαῖος@annmsn ὑπάρχω@vppanms ἐθνικῶς@b καί@cc οὐχί@b Ἰουδαϊκῶς@b ζάω@vipa2s πῶς@b ὁ@danp ἔθνος@nanpc ἀναγκάζω@vipa2s Ἰουδαΐζω@vnpa]" 
"Gal","02","16","02TZ","[οἶδα@vpxanmp δέ@cc ὅτι@cs οὐ@b δικαιόω@vipp3s ἄνθρωπος@nnmsc ἐκ@pg ἔργον@ngnpc νόμος@ngmsc ἐάν@cs μή@x διά@pg πίστις@ngfsc Χριστός@ngmsp Ἰησοῦς@ngmsp καί@b ἐγώ@rpn-p εἰς@pa Χριστός@namsp Ἰησοῦς@namsp πιστεύω@viaa1p ἵνα@cs δικαιόω@vsap1p ἐκ@pg πίστις@ngfsc Χριστός@ngmsp καί@cc οὐ@b ἐκ@pg ἔργον@ngnpc νόμος@ngmsc ὅτι@cs ἐκ@pg ἔργον@ngnpc νόμος@ngmsc οὐ@b δικαιόω@vifp3s πᾶς@ainfsn σάρξ@nnfsc]" 
"Gal","02","18","02TZ","[εἰ@cs γάρ@cc ὅς@rranp καταλύω@viaa1s οὗτος@rdanp πάλιν@b οἰκοδομέω@vipa1s παραβάτης@namsc ἐμαυτοῦ@rxams συνίστημι@vipa1s]" 
"Gal","02","19","02TZ","[Χριστός@ndmsp συσταυρόω@vixp1s]" 
"Gal","02","20","02TZ","[ζάω@vipa1s δέ@cc οὐκέτι@b ἐγώ@rpn-s ζάω@vipa3s δέ@cc ἐν@pd ἐγώ@rpd-s Χριστός@nnmsp ὅς@rrans δέ@cc νῦν@b ζάω@vipa1s ἐν@pd σάρξ@ndfsc ἐν@pd πίστις@ndfsc ζάω@vipa1s ὁ@ddfs] ὁ@dgms υἱός@ngmsc ὁ@dgms θεός@ngmsc ὁ@dgms ἀγαπάω@vpaagms ἐγώ@rpa-s" 
"Gal","03","01","02TZ","[ὦ@i ἀνόητος@anvmpn Γαλάτης@nvmpp τίς@rqnms σύ@rpa-p βασκαίνω@viaa3s ὅς@rrdmp κατά@pa ὀφθαλμός@nampc Ἰησοῦς@nnmsp Χριστός@nnmsp προγράφω@viap3s σταυρόω@vpxpnms]" 
