"Work","Chapter","Verse","Version","Script" 
"Gal","03","29","03AH","[εἰ@cs δέ@cc σύ@rpn-p Χριστός@ngmsp] [κατά@pa ἐπαγγελία@nafsc κληρονόμος@nnmpc]" 
"Gal","04","01","03AH","[λέγω@vipa1s δέ@cc ἐπί@pa ὅσος@aramsn χρόνος@namsc ὁ@dnms κληρονόμος@nnmsc νήπιος@annmsn εἰμί@vipa3s οὐδείς@rians διαφέρω@vipa3s δοῦλος@ngmsc κύριος@nnmsc πᾶς@aignpn εἰμί@vppanms]" 
"Gal","04","02","03AH","[ἀλλά@cc ὑπό@pa ἐπίτροπος@nampc εἰμί@vipa3s καί@cc οἰκονόμος@nampc ἄχρι@pg ὁ@dgfs προθεσμία@ngfsc ὁ@dgms πατήρ@ngmsc]" 
"Gal","04","03","03AH","ἔτι@b κατά@pa ἄνθρωπος@namsc λέγω@vipa1s ὅτε@cs εἰμί@viia1p νήπιος@annmpn ὑπό@pa ὁ@danp στοιχεῖον@nanpc ὁ@dgms κόσμος@ngmsc εἰμί@viim1p δουλόω@vpxpnmp" 
"Gal","04","04","03AH","ὅτε@cs δέ@cc ἔρχομαι@viaa3s ὁ@dnns πλήρωμα@nnnsc ὁ@dgms χρόνος@ngmsc ἐξαποστέλλω@viaa3s ὁ@dnms θεός@nnmsc ὁ@dams υἱός@namsc αὐτός@rpgms" 
"Gal","04","05","03AH","ἵνα@cs ὁ@damp ὑπό@pa νόμος@namsc ἐξαγοράζω@vsaa3s (καί@c) ἵνα@cs (εἰς@pa υἱοθεσία@nafsc ἀπολαμβάνω@vsaa1p) []" 
"Gal","04","06","03AH","ὅτε@cs δέ@cc εἰμί@vipa2p υἱός@nnmpc ἐξαποστέλλω@viaa3s ὁ@dnms θεός@nnmsc ὁ@dans πνεῦμα@nansc ὁ@dgms υἱός@ngmsc αὐτός@rpgms εἰς@pa ὁ@dafp καρδία@nafpc ἐγώ@rpg-p κράζω@vppaans ἀββά@nvmsc ὁ@dnms πατήρ@nnmsc" 
"Gal","04","07","03AH","[ὥστε@cs οὐκέτι@b εἰμί@vipa2s δοῦλος@nnmsc ἀλλά@cc υἱός@nnmsc εἰ@cs δέ@cc υἱός@nnmsc καί@b κληρονόμος@nnmsc διά@pg θεός@ngmsc]" 
"Gal","04","08","03AH","εἰ@cs οὖν@cc () ὁ@ddmp ἐν@pd ὁ@ddfs φύσις@ndfsc εἰμί@vppadmp θεός@ndmpc δουλεύω@vipa2p" 
"Gal","04","09","03AH","πῶς@b ἐπιστρέφω@vipa2p πάλιν@b ἐπί@pa ὁ@danp ἀσθενής@ananpn καί@cc πτωχός@ananpn στοιχεῖον@nanpc ὅς@rrdnp πάλιν@b ἄνωθεν@b δουλεύω@vnpa θέλω@vipa2p" 
"Gal","04","10","03AH","ἡμέρα@nafpc παρατηρέω@vipm2p καί@cc μήν@nampc καί@cc καιρός@nampc καί@cc ἐνιαυτός@nampc" 
"Gal","04","11","03AH","[φοβέω@vipm1s σύ@rpa-p μή@x πώς@b εἰκῇ@b κοπιάω@vixa1s εἰς@pa σύ@rpa-p]" 
"Gal","04","12","03AH","[γίνομαι@vdpm2p ὡς@cs ἐγώ@rpn-s ὅτι@cs καί@b ἐγώ@rpn-s ὡς@cs σύ@rpn-p ἀδελφός@nvmpc δέομαι@vipm1s σύ@rpg-p οὐδείς@rians ἐγώ@rpa-s ἀδικέω@viaa2p]" 
"Gal","04","13","03AH","[οἶδα@vixa2p δέ@cc ὅτι@cs διά@pa ἀσθένεια@nafsc ὁ@dgfs σάρξ@ngfsc εὐαγγελίζω@viam1s σύ@rpd-p ὁ@dans πρότερος@anansc]" 
"Gal","04","14","03AH","[καί@cc ὁ@dams πειρασμός@namsc σύ@rpg-p ἐν@pd ὁ@ddfs σάρξ@ndfsc ἐγώ@rpg-s οὐ@b ἐξουθενέω@viaa2p οὐδέ@cc ἐκπτύω@viaa2p ἀλλά@cc ὡς@cs ἄγγελος@namsc θεός@ngmsc δέχομαι@viam2p ἐγώ@rpa-s ὡς@cs Χριστός@namsp Ἰησοῦς@namsp]" 
"Gal","04","15","03AH","[ποῦ@b οὖν@cc ὁ@dnms μακαρισμός@nnmsc σύ@rpg-p μαρτυρέω@vipa1s γάρ@cc σύ@rpd-p ὅτι@cs εἰ@cs δυνατός@annnsn ὁ@damp ὀφθαλμός@nampc σύ@rpg-p ἐξορύσσω@vpaanmp δίδωμι@viaa2p ἐγώ@rpd-s]" 
"Gal","04","16","03AH","[ὥστε@cs ἐχθρός@annmsn σύ@rpg-p γίνομαι@vixa1s ἀληθεύω@vppanms σύ@rpd-p]" 
"Gal","04","17","03AH","[ζηλόω@vipa3p σύ@rpa-p οὐ@b καλῶς@b ἀλλά@cc ἐκκλείω@vnaa σύ@rpa-p θέλω@vipa3p ἵνα@cs αὐτός@rpamp ζηλόω@vspa2p]" 
"Gal","04","18","03AH","[καλός@annnsn δέ@cc ὁ@dans ζηλόω@vnpe ἐν@pd καλός@andnsn πάντοτε@b καί@cc μή@x μόνος@b ἐν@pd ὁ@ddns πάρειμι@vnpa ἐγώ@rpa-s πρός@pa σύ@rpa-p]" 
"Gal","04","19","03AH","(τέκνον@nvnpc ἐγώ@rpg-s ὅς@rramp ὠδίνω@vipa1s πάλιν@b) [μέχρι@pg ὅς@rrgns μορφόω@vsap3s Χριστός@nnmsp ἐν@pd σύ@rpd-p]" 
"Gal","04","20","03AH","[θέλω@viia1s δέ@cc πάρειμι@vnpa πρός@pa σύ@rpa-p ἄρτι@b καί@cc ἀλλάσσω@vnaa ὁ@dafs φωνή@nafsc ἐγώ@rpg-s ὅτι@cs ἀπορέω@vipm1s ἐν@pd σύ@rpd-p]" 
"Gal","04","21","03AH","λέγω@vdpa2p ἐγώ@rpd-s ὁ@dnmp ὑπό@pa νόμος@namsc θέλω@vppanmp εἰμί@vnpa ὁ@dams νόμος@namsc οὐ@b ἀκούω@vipa2p" 
"Gal","04","22","03AH","(γράφω@vixp3s γάρ@cc ὅτι@cs) Ἀβραάμ@nnmsp δύο@acampn υἱός@nampc ἔχω@viaa3s εἷς@acamsn ἐκ@pg ὁ@dgfs παιδίσκη@ngfsc καί@cc εἷς@acamsn ἐκ@pg ὁ@dgfs ἐλεύθερος@angfsn" 
"Gal","04","23","03AH","ἀλλά@cc ὁ@dnms μέν@x ἐκ@pg ὁ@dgfs παιδίσκη@ngfsc κατά@pa σάρξ@nafsc γεννάω@vixp3s ὁ@dnms δέ@cc ἐκ@pg ὁ@dgfs ἐλεύθερος@angfsn διά@pg ὁ@dgfs ἐπαγγελία@ngfsc" 
"Gal","04","24","03AH","ὅστις@rrnnp εἰμί@vipa3s ἀλληγορέω@vpppnnp οὗτος@rdnfp γάρ@cc εἰμί@vipa3p ὁ@dnfp δύο@acnfpn (ἐπιδείκνυμι@vifa2s) [] εἷς@acnfsn μέν@x ἀπό@pg ὄρος@ngnsc Σινᾶ@ngnsp εἰς@pa ὁ@dafs συναγωγή@nafsc ὁ@dgmp Ἰουδαῖος@angmpn κατά@pa ὁ@dams νόμος@namsc γεννάω@vppanfs εἰς@pa δουλεία@nafsc" 
"Eph","01","21","03AH","ἄλλος@ainfsn δέ@cc ὑπεράνω@pg πᾶς@aigfsn ἀρχή@ngfsc γεννάω@vppanfs καί@cc δύναμις@ngfsc καί@cc ἐξουσία@ngfsc καί@cc πᾶς@aignsn ὄνομα@ngnsc ὀνομάζω@vpppgns οὐ@b μόνος@b ἐν@pd ὁ@ddms αἰών@ndmsc οὗτος@rddms ἀλλά@cc καί@b ἐν@pd ὁ@ddms μέλλω@vppadms" 
"Gal","04","26","03AH","εἰς@pa (ὅς@rrafs) [] ἐπαγγέλλομαι@viam1p ἅγιος@anafsn ἐκκλησία@nafsc ὅστις@rrnfs εἰμί@vipa3s μήτηρ@nnfsc ἐγώ@rpg-p" 
"Gal","04","31","03AH","(διό@cc) [] ἀδελφός@nvmpc οὐ@b εἰμί@vipa1p παιδίσκη@ngfsc τέκνον@nnnpc ἀλλά@cc ὁ@dgfs ἐλεύθερος@angfsn" 
"Gal","05","01a","03AH","ὅς@rrdfs ἐλευθερία@ndfsc (οὖν@cc) Χριστός@nnmsp ἐγώ@rpa-p ἐλευθερόω@viaa3s" 
"Gal","05","01b","03AH","στήκω@vdpa2p καί@cc μή@x πάλιν@b ζυγός@ndmsc δουλεία@ngfsc ἐνέχω@vdpp2p" 
"Gal","05","02","03AH","[ὁράω@i ἐγώ@rpn-s Παῦλος@nnmsp λέγω@vipa1s σύ@rpd-p ὅτι@cs ἐάν@cs περιτέμνω@vspp2p Χριστός@nnmsp σύ@rpa-p οὐδείς@rians ὠφελέω@vifa3s]" 
"Gal","05","03","03AH","μαρτύρομαι@vipm1s δέ@cc πάλιν@b ὅτι@cs ἄνθρωπος@nnmsc περιτέμνω@vpxpnms ὀφειλέτης@nnmsc εἰμί@vipa3s ὅλος@anamsn ὁ@dams νόμος@namsc πληρόω@vnaa" 
"Gal","05","04","03AH","[καταργέω@viap2p ἀπό@pg Χριστός@ngmsp ὅστις@rrnmp ἐν@pd νόμος@ndmsc δικαιόω@vipp2p ὁ@dgfs χάρις@ngfsc ἐκπίπτω@viaa2p]" 
"Gal","05","05","03AH","[ἐγώ@rpn-p γάρ@cc πνεῦμα@ndnsc ἐκ@pg πίστις@ngfsc ἐλπίς@nafsc δικαιοσύνη@ngfsc ἀπεκδέχομαι@vipm1p]" 
"Gal","05","06","03AH","ἐν@pd γάρ@cc Χριστός@ndmsp οὔτε@cc περιτομή@nnfsc τὶς@rians ἰσχύω@vipa3s οὔτε@cc ἀκροβυστία@nnfsc ἀλλά@cc πίστις@nnfsc διά@pg ἀγάπη@ngfsc ἐνεργέω@vppmnfs" 
"Gal","05","07","03AH","[τρέχω@viia2p καλῶς@b τίς@rqnms σύ@rpa-p ἐγκόπτω@viaa3s ὁ@ddfs ἀλήθεια@ndfsc μή@x πείθω@vnpp]" 
"Gal","05","08","03AH","[ὁ@dnfs πεισμονή@nnfsc οὐ@b ἐκ@pg ὁ@dgms καλέω@vppagms σύ@rpa-p]" 
"Gal","05","09","03AH","μικρός@annfsn ζύμη@nnfsc ὅλος@anansn ὁ@dans φύραμα@nansc δολόω@vipa3s" 
"Gal","05","10","03AH","[ἐγώ@rpn-s πείθω@vixa1s εἰς@pa σύ@rpa-p ἐν@pd κύριος@ndmsc ὅτι@cs οὐδείς@rians ἄλλος@aiansn φρονέω@vifa2p] ὁ@dnms δέ@cc ταράσσω@vppanms σύ@rpa-p ὁ@dans κρίμα@nansc βαστάζω@vifa3s ὅστις@rrnms ἄν@x εἰμί@vspa3s" 
